"id","Gender","Age","Educ","WDP.Theil","WDP.Gini","WDP.Atkinson"
591,"female","30to39","HigherEduc",0,0,0
592,"female","70+","HigherEduc",0,NA,0
593,"male","20to29","HigherEduc",1,1,1
594,"male","20to29","Matura",0,1,0
595,"male","30to39","HigherEduc",0,0,0
596,"female","40to49","HigherEduc",0,0,0
597,"male","70+","HigherEduc",0,0,0
598,"female","40to49","Mittlere Schule",0,0,0
599,"male","20to29","HigherEduc",1,0,1
600,"male","30to39","HigherEduc",1,1,1
601,"female","50to59","Matura",1,1,1
602,"female","60to69","Matura",0,1,0
603,"male","50to59","HigherEduc",0,0,0
604,"female","30to39","HigherEduc",1,1,1
605,"male","30to39","HigherEduc",1,1,1
606,"female","30to39","HigherEduc",0,0,0
607,"male","20to29","AHS/BHS",0,1,1
608,"male","50to59","Pflichtschule+Lehre",0,0,0
609,"female","30to39","HigherEduc",1,1,1
610,"male","30to39","Matura",0,0,0
611,"male","30to39","HigherEduc",1,1,1
612,"female","50to59","HigherEduc",0,0,0
613,"female","40to49","HigherEduc",1,1,1
614,"female","30to39","HigherEduc",1,1,1
615,"male","30to39","HigherEduc",NA,NA,NA
616,"male","30to39","HigherEduc",0,0,0
617,"female","40to49","HigherEduc",0,0,0
618,"female","30to39","HigherEduc",0,0,0
619,"male","30to39","HigherEduc",1,1,0
620,"female","20to29","HigherEduc",0,0,0
621,NA,NA,NA,NA,NA,NA
622,"female","20to29","Matura",1,1,1
623,"male","40to49","Pflichtschule+Lehre",1,1,1
624,"female","30to39","HigherEduc",1,1,1
625,"male","40to49","Pflichtschule+Lehre",0,0,0
626,"female","40to49","HigherEduc",0,0,0
627,"male","40to49","HigherEduc",1,1,1
628,"male","20to29","Matura",1,0,1
629,"male","70+","AHS/BHS",0,0,0
630,"male","30to39","HigherEduc",1,1,1
631,"female","20to29","HigherEduc",0,0,0
632,"male","20to29","HigherEduc",1,0,0
633,"female","20to29","HigherEduc",0,0,0
634,"female","50to59","AHS/BHS",1,1,1
635,"male","60to69","Mittlere Schule",0,0,0
636,"female","30to39","HigherEduc",1,1,1
637,"male","30to39","HigherEduc",1,1,0
638,"male","50to59","Pflichtschule+Lehre",0,0,0
639,"male","30to39","HigherEduc",0,0,0
640,"male","30to39","HigherEduc",1,1,1
641,"male","20to29","Matura",1,1,1
642,"male","20to29","HigherEduc",1,0,1
643,"female","30to39","HigherEduc",0,0,0
644,"male","30to39","HigherEduc",1,1,1
645,"female","20to29","HigherEduc",1,1,1
646,"female","20to29","Mittlere Schule",1,1,1
647,"male","30to39","HigherEduc",1,1,1
648,"male","40to49","HigherEduc",0,0,0
649,"male","30to39","HigherEduc",1,1,1
650,"male","70+","Pflichtschule+Lehre",0,0,0
651,"female","20to29","Matura",1,1,1
652,"female","20to29","Matura",1,1,1
653,"male","20to29","Matura",1,0,1
654,"male","16to19","Matura",0,0,0
655,"female","60to69","Pflichtschule+Lehre",0,0,0
656,"female","60to69","Matura",NA,NA,NA
657,"male","50to59","Pflichtschule+Lehre",1,1,1
658,"male","70+","Mittlere Schule",0,0,0
659,"female","70+","Pflichtschule+Lehre",0,0,0
660,"male","50to59","Pflichtschule+Lehre",0,1,0
661,"male","30to39",NA,0,0,0
662,"male","20to29","Matura",1,1,1
663,"female","50to59",NA,0,0,0
664,"male","50to59","Pflichtschule",0,1,0
665,"female","20to29","Matura",1,1,1
666,"male","70+","Pflichtschule+Lehre",NA,NA,NA
667,"male","30to39","HigherEduc",NA,NA,NA
668,"female","40to49","Matura",0,0,0
669,"male","30to39","HigherEduc",1,1,1
670,"female","30to39","HigherEduc",1,1,1
671,"male","40to49","Matura",0,0,0
672,"female","40to49","Pflichtschule+Lehre",1,1,1
673,"male","20to29","Matura",1,1,1
674,"female","70+","AHS/BHS",0,0,0
675,"male","50to59","HigherEduc",0,0,0
676,"male","20to29","AHS/BHS",1,1,1
677,"female","40to49","Pflichtschule",0,NA,0
678,"female","40to49","HigherEduc",0,0,0
679,"male","30to39","HigherEduc",0,0,0
680,"female","30to39","HigherEduc",0,0,0
681,"female","30to39","HigherEduc",1,1,1
682,"male","30to39","HigherEduc",0,0,0
683,"female","20to29","Matura",0,0,0
684,"female","50to59","Matura",0,0,0
685,"female","50to59","Mittlere Schule",1,0,0
686,"female","60to69","Matura",0,0,0
687,"female","30to39","HigherEduc",0,0,0
688,"female","16to19","HigherEduc",0,0,0
689,"female","60to69","Matura",0,0,0
690,"female","20to29","Matura",1,1,1
691,"male","20to29","HigherEduc",1,1,1
692,NA,NA,NA,NA,NA,NA
693,"female","30to39","Matura",0,0,0
694,"female","20to29","Matura",1,1,1
695,"female","70+","Matura",0,NA,0
696,"female","20to29","Matura",1,1,1
697,"female","20to29","Matura",0,0,0
698,"male","20to29","Mittlere Schule",1,1,1
699,"female","70+","Matura",1,1,1
700,"male","50to59","HigherEduc",1,0,1
701,"female","50to59","Matura",0,0,0
702,"female","50to59","HigherEduc",1,1,1
703,"male","20to29","Matura",0,1,0
704,"female","30to39","HigherEduc",1,1,1
705,NA,"40to49",NA,NA,NA,NA
706,"male","30to39","Matura",1,1,1
707,"male","30to39","Matura",1,1,1
708,"female","20to29","HigherEduc",1,1,1
709,"male","20to29","HigherEduc",1,1,1
710,"female","20to29","Matura",1,1,1
711,"female","20to29","Matura",1,1,1
712,"female","50to59","Pflichtschule+Lehre",1,1,1
713,"male","50to59","Matura",0,NA,0
714,"female","20to29","Matura",1,1,1
715,"male","60to69","HigherEduc",1,1,1
716,"male","40to49","HigherEduc",0,0,0
717,"male","20to29","HigherEduc",1,1,1
718,"male","70+","HigherEduc",0,0,0
719,"female","40to49","Matura",0,NA,0
720,"female","20to29","HigherEduc",1,1,1
721,"male","40to49",NA,1,1,1
722,"female","50to59","Matura",0,0,0
723,"female","60to69","HigherEduc",1,1,1
724,"male","40to49","Pflichtschule+Lehre",0,0,0
725,"female","20to29","Matura",1,1,1
726,"male","30to39","HigherEduc",0,0,0
727,"female","30to39","HigherEduc",1,1,1
728,"female","20to29","Matura",0,0,0
729,"male","70+","HigherEduc",1,1,0
730,"male","50to59","Matura",0,0,0
731,"female","50to59","Matura",0,0,0
732,"male","50to59","Matura",0,0,0
733,"female","30to39","HigherEduc",1,1,1
734,"female","30to39","HigherEduc",0,0,0
735,"male","20to29","Matura",0,0,0
736,"female","20to29","Matura",0,0,0
737,"female","30to39","HigherEduc",1,1,1
738,"male","30to39","Matura",0,0,0
739,"female","30to39","Matura",0,1,0
740,"male","40to49",NA,0,0,0
741,"male","20to29","Matura",1,1,1
742,"male","50to59","Pflichtschule+Lehre",0,0,0
743,"female","70+","Pflichtschule+Lehre",0,0,0
744,"male","70+",NA,NA,NA,NA
745,"female","70+","HigherEduc",NA,NA,NA
746,"male","20to29","Matura",0,0,0
747,"male","40to49","HigherEduc",0,0,0
748,"female","16to19","Matura",0,1,0
749,"diverse","30to39","HigherEduc",0,0,0
750,"male","30to39","HigherEduc",1,1,1
751,"male","20to29","Mittlere Schule",0,0,0
752,"male","20to29","HigherEduc",1,1,1
753,"male","30to39","HigherEduc",0,0,0
754,"female","50to59","Mittlere Schule",0,1,0
755,"male","30to39","Mittlere Schule",1,0,1
756,"female","20to29","Matura",1,1,1
757,"female","30to39","HigherEduc",0,0,0
758,"male","30to39","HigherEduc",0,0,0
759,"male","40to49","AHS/BHS",0,0,0
760,"female","70+","HigherEduc",0,0,0
761,"female","20to29","Matura",1,1,1
762,"male","40to49","HigherEduc",1,1,1
763,"female","50to59","HigherEduc",0,0,0
764,"male",NA,"HigherEduc",1,1,1
765,"female","20to29","Matura",0,1,0
766,"male","60to69","AHS/BHS",0,0,0
767,"female","50to59","Matura",0,0,0
768,"female","20to29","Matura",0,0,0
769,"male","30to39","HigherEduc",1,1,1
770,"female","40to49","HigherEduc",0,0,0
771,"female","16to19","Pflichtschule",1,1,1
772,"female","40to49","HigherEduc",0,0,0
773,"female","20to29","Pflichtschule",NA,NA,NA
774,"male","20to29","Pflichtschule+Lehre",NA,NA,NA
775,"male","40to49","Pflichtschule",NA,NA,NA
776,"female","70+","Mittlere Schule",0,0,0
777,"female","40to49","Pflichtschule+Lehre",0,0,0
778,"male","30to39","HigherEduc",0,0,0
779,"male","40to49","Matura",1,1,1
780,"male","20to29","Matura",1,1,1
781,"female","20to29","HigherEduc",0,0,0
782,"male","40to49","Pflichtschule+Lehre",0,0,0
783,"female","30to39","HigherEduc",NA,NA,NA
784,"male","70+","Matura",0,0,0
785,"male","30to39","Matura",0,0,0
786,"female","60to69","HigherEduc",0,0,0
787,"male","60to69",NA,0,0,0
788,"male","30to39","HigherEduc",0,0,0
789,"male","16to19","AHS/BHS",0,0,0
790,"female","30to39","Matura",1,0,1
791,"male","20to29","HigherEduc",1,1,1
792,"female","30to39","HigherEduc",1,1,1
793,"male","30to39","Matura",0,0,0
794,"male","20to29","Matura",0,0,0
795,"female","20to29","Matura",1,1,1
796,"female","30to39","HigherEduc",0,0,0
797,"male","50to59","Mittlere Schule",1,1,1
798,"male","40to49","HigherEduc",0,0,0
799,"male","16to19","Mittlere Schule",1,1,1
