"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
133,"F",3,6,1,1,1,1,1,0,0
134,"M",3,6,1,1,1,1,0,0,0
135,"F",3,6,0,0,0,1,0,0,0
136,"F",3,6,1,1,1,1,1,0,0
137,NA,5,6,NA,NA,NA,0,0,NA,NA
138,"M",1,5,0,1,0,1,0,1,0
139,"F",5,6,0,0,0,1,0,0,0
140,"F",6,6,1,1,1,1,1,0,1
141,"F",5,5,0,0,0,0,0,0,0
142,"F",2,5,1,1,1,1,1,0,0
143,"M",2,2,1,1,1,1,0,0,0
144,"M",3,6,0,0,0,1,0,0,0
145,"F",4,3,1,1,1,0,0,0,0
146,"M",1,4,NA,NA,NA,0,0,NA,NA
147,"M",7,6,NA,NA,NA,1,0,0,0
148,"F",4,6,0,1,0,1,1,0,1
149,"F",3,6,1,1,1,1,1,0,0
150,"M",2,6,0,0,0,1,1,0,0
151,"F",5,6,0,0,0,1,0,0,0
152,"M",7,6,0,0,0,1,0,0,0
153,"M",4,6,NA,NA,NA,0,0,NA,NA
154,"F",2,1,0,0,0,1,1,0,0
155,"M",4,6,1,1,1,1,1,0,0
156,"F",2,6,1,1,1,1,0,0,0
157,"M",4,6,0,0,0,1,0,0,1
158,"F",6,6,1,1,1,0,0,0,0
159,"M",4,6,0,0,0,1,0,0,0
160,"M",3,6,0,0,0,1,0,0,0
161,"M",1,NA,1,1,1,1,1,0,1
162,"F",6,3,0,0,0,1,1,0,0
163,"M",6,2,0,0,0,1,1,0,0
164,"M",6,5,NA,NA,NA,0,0,NA,NA
165,"F",6,3,NA,NA,NA,0,0,NA,NA
166,NA,NA,4,NA,NA,NA,0,0,NA,NA
167,"F",2,5,1,1,1,1,0,0,0
168,"M",3,5,0,0,0,1,0,0,0
169,"F",3,6,0,0,0,0,0,0,0
170,"M",2,5,1,1,0,1,0,0,0
171,"F",5,3,NA,NA,NA,0,0,NA,NA
172,"F",2,6,0,0,0,1,1,0,0
173,"M",4,5,1,1,1,1,1,1,0
174,"F",2,6,0,0,0,1,0,0,1
175,"F",4,6,1,1,1,0,0,0,0
176,"F",2,6,1,1,1,1,1,0,0
177,"M",2,6,1,1,1,0,0,0,1
178,NA,2,5,1,1,1,1,0,0,0
179,"F",6,5,0,0,0,1,0,0,0
180,"F",2,6,1,1,1,1,1,0,0
181,"M",2,5,1,1,1,0,0,0,1
182,"M",3,6,1,1,1,0,0,0,0
183,"M",5,6,0,0,0,0,0,0,0
184,"F",4,6,0,0,0,1,1,0,0
185,"F",4,6,0,0,0,1,1,0,0
186,"M",4,6,1,1,1,1,1,0,0
187,"F",3,6,0,0,0,1,0,0,0
188,"M",2,6,0,0,0,1,1,0,0
189,"F",5,6,1,1,1,0,0,0,NA
190,"F",4,6,1,1,1,0,0,0,0
191,"F",2,5,NA,NA,NA,0,0,NA,NA
192,"F",2,6,0,0,0,1,1,0,0
193,"F",NA,2,NA,NA,NA,0,0,NA,NA
194,"M",3,6,1,1,1,1,0,0,0
195,NA,NA,4,NA,NA,NA,0,0,NA,NA
196,"M",3,6,1,1,1,0,0,0,1
197,"F",5,6,0,0,0,1,0,0,0
198,"F",2,6,0,0,0,1,0,0,0
199,"F",2,6,1,1,1,0,0,0,0
200,"F",3,6,0,0,0,0,0,0,1
201,"F",7,6,0,0,0,1,0,0,1
202,NA,NA,4,NA,NA,NA,0,0,NA,NA
203,"F",5,6,0,0,0,1,0,0,0
204,"M",2,5,1,1,1,1,1,0,0
205,"F",2,6,1,1,1,0,0,0,0
206,"F",3,6,1,1,1,1,1,0,0
207,"F",5,6,0,0,0,1,1,0,0
208,NA,NA,4,NA,NA,NA,0,0,NA,NA
209,NA,NA,4,NA,NA,NA,0,0,NA,NA
210,"F",7,2,1,1,1,0,0,NA,NA
211,"M",7,6,0,0,0,1,1,0,0
212,"F",7,1,NA,NA,NA,0,0,NA,NA
213,"M",7,5,NA,NA,NA,0,0,NA,NA
214,"F",7,6,0,0,0,1,1,0,0
215,"F",5,6,1,1,1,1,1,0,0
216,NA,NA,4,1,1,1,1,0,0,0
217,"F",6,5,1,1,1,0,0,0,1
218,"F",7,5,1,1,1,0,0,0,1
219,"F",6,3,0,1,1,0,0,NA,0
220,"M",3,6,NA,NA,NA,0,0,0,0
221,"F",3,6,0,0,0,0,0,0,0
222,"M",7,3,0,0,0,1,0,0,0
223,"M",2,2,1,1,1,0,0,0,0
224,"M",4,2,0,0,0,0,0,0,0
225,"F",4,2,0,0,0,1,1,0,0
226,"F",2,3,1,1,1,0,0,0,0
227,"M",7,6,0,0,0,1,1,0,0
228,"M",2,6,1,1,1,0,0,0,0
