"id","Gender","Age","studies","WDP.Theil","WDP.Gini","WDP.Atkinson"
260,"h","30-39","superieur",1,1,1
261,"h","18-29","superieur",1,0,0
262,"h","18-29","secondaire",1,1,1
263,"h","18-29","superieur",0,0,0
264,"h","18-29","superieur",1,1,1
265,"h","18-29","superieur",1,1,1
266,"h","18-29","superieur",1,1,1
267,"h","30-39","superieur",0,0,0
268,"h","18-29","superieur",1,1,1
271,"nspp","18-29","superieur",1,1,1
273,"h","30-39","secondaire",1,1,1
274,"f","18-29","superieur",1,1,1
276,"h","18-29","superieur",1,1,1
277,"h","30-39","superieur",1,1,1
278,"h","18-29","secondaire",1,1,1
279,"h","30-39","superieur",1,1,1
282,"f","18-29","superieur",1,1,1
283,"h","18-29","superieur",0,0,0
285,"h","30-39","superieur",1,1,1
286,"f","18-29","superieur",1,1,1
288,"h","30-39","superieur",1,1,1
290,"h","30-39","superieur",1,1,1
294,"h","60-69","superieur",1,1,1
296,"h","18-29","superieur",0,0,0
297,"h","40-49","superieur",1,1,1
301,"h","18-29","superieur",1,1,1
303,"h","40-49","superieur",1,1,1
305,"h","18-29","superieur",1,0,1
308,"h","18-29","superieur",1,1,1
309,"h","18-29","superieur",1,1,1
310,"h","40-49","superieur",1,1,1
311,"h","50-59","superieur",0,0,0
318,"h","30-39","superieur",1,0,1
319,"h","18-29","superieur",0,0,0
320,"h","30-39","superieur",1,0,0
321,"h","30-39","superieur",1,1,1
322,"f","30-39","superieur",0,0,0
327,"h","30-39","superieur",1,1,1
328,"f","50-59","superieur",1,1,1
330,"f","30-39","superieur",0,0,0
331,"f","30-39","superieur",1,1,1
332,"f","30-39","superieur",0,0,0
333,"h","30-39","superieur",1,1,1
336,"h","30-39","superieur",1,1,1
337,"h","18-29","superieur",1,1,1
338,"h","40-49","superieur",1,1,1
339,"f","18-29","superieur",1,1,1
340,"f","40-49","superieur",1,0,1
341,"h","18-29","superieur",1,1,1
342,"h","18-29","superieur",1,1,1
343,"h","30-39","superieur",0,0,0
345,"h","18-29","superieur",1,1,1
347,"h","18-29","superieur",1,1,1
349,"h","30-39","superieur",1,1,1
350,"f","30-39","superieur",0,0,0
351,"f","40-49","superieur",0,0,0
352,"h","18-29","superieur",1,1,1
353,"h","18-29","superieur",0,0,0
354,"h","18-29","superieur",1,0,1
355,"h","30-39","superieur",1,1,1
357,"h","40-49","superieur",1,1,1
358,"h","40-49","superieur",1,1,1
361,"h","30-39","superieur",0,0,0
364,"h","40-49","superieur",0,0,0
365,"h","18-29","superieur",1,0,1
366,"nspp","18-29","superieur",1,1,1
367,"h","30-39","superieur",1,0,1
368,"f","40-49","superieur",0,0,0
369,"f","18-29","superieur",1,1,1
372,"h","30-39","superieur",1,1,0
373,"h","18-29","superieur",1,1,1
375,"h","18-29","superieur",1,1,1
376,"h","40-49","superieur",1,1,0
377,"f","50-59","superieur",0,0,0
378,"h","30-39","superieur",1,1,1
379,"f","18-29","superieur",1,1,1
381,"h","18-29","superieur",0,0,0
386,"h","18-29","secondaire",1,1,1
387,"f","18-29","superieur",1,1,1
388,"h","40-49","superieur",1,1,1
390,"h","30-39","superieur",1,0,1
391,"h","30-39","superieur",1,1,1
392,"h","18-29","superieur",1,1,1
393,"f","30-39","superieur",0,0,0
