"id","GENDER","AGE","EDUC","WDP.Theil","WDP.Gini","WDP.Atkinson"
182," M","50","2",1,1,1
183," F","18"," S",1,1,1
184," F","40","2",0,0,0
185," M","18"," S",1,1,1
186," M","40","1",1,1,1
187," F","50"," S",1,1,1
188," F","50"," S",1,1,1
189," F","30","2",1,1,1
190," M","70"," S",1,1,1
191," M","40"," S",0,0,0
192," M","18"," S",0,0,0
193," M","18"," S",0,0,0
194," M","40"," S",1,1,1
195," M","60"," S",0,0,0
196," M","50"," S",1,1,1
197," M","30"," S",1,1,1
198," M","18"," S",1,1,1
199," F","50"," S",1,1,1
200," M","18","2",0,0,0
201," M","18"," S",1,0,1
202," F","18"," S",0,0,0
203," F","60"," S",1,1,1
204," M","30"," S",NA,NA,NA
205," M","18"," S",1,1,1
206," F","18"," S",0,0,0
207," M","30"," S",1,1,1
208," M","18"," S",0,0,0
209," M","70"," S",1,1,1
210," F","18"," S",0,0,0
211," M","40"," S",0,0,0
212," F","40"," S",1,1,1
213," F","70",NA,NA,NA,NA
214," F","18"," S",1,1,1
215," M","18"," S",1,1,1
216," M","40"," S",0,0,0
217," F","40","2",0,0,0
218," M","18"," S",1,1,1
219," M","30","2",1,1,1
220,NA,NA,NA,1,1,1
221," F","50"," S",1,0,0
222," M","40"," S",1,1,1
223," M","60"," S",0,0,0
224," M","40"," S",1,1,1
225," M","40"," S",0,NA,0
226," F","30"," S",1,1,1
227," F","50"," S",1,0,1
228,NA,NA,NA,1,1,1
229," M","30",NA,0,0,0
230," M","50"," S",1,1,1
231," F","18"," S",1,1,1
232," M","50","2",1,1,1
233," F","18"," S",1,1,1
234,NA,"18",NA,1,1,1
235," M","40"," S",0,0,0
236," F","18","2",1,1,1
237," F","50"," S",1,1,1
238," M","50"," S",1,1,1
239," F","70","2",0,NA,0
240," M","18"," S",1,0,1
241," F","60","2",0,NA,0
242," M","30","2",1,1,1
243," F","70"," S",1,1,1
244," F","30"," S",1,0,1
245," M","50"," S",0,0,0
246," F","18"," S",1,1,1
247," F","50"," S",1,1,1
248," F","18"," S",0,0,0
249," F","40"," S",1,0,1
250," F","50"," S",1,1,0
251," F","18"," S",1,1,1
252," F","40"," S",1,0,1
253," M","50"," S",1,1,1
254," M","40"," S",0,0,0
255," M","18"," S",1,1,1
256," M","30","2",0,0,0
257," M","60"," S",1,1,1
258," F","50"," S",0,NA,0
259," F","70"," S",0,0,0
260," F","50"," S",1,1,1
261," M","50"," S",1,1,1
262," F","60"," S",0,NA,0
263," F","18"," S",1,1,1
264," M","50"," S",1,1,1
265," M","50"," S",1,1,1
266," M","18"," S",1,0,1
267," M","30"," S",1,1,1
268," F","40"," S",0,NA,0
269," F","40"," S",1,1,1
270," M","30"," S",1,1,1
271," F","40"," S",1,1,1
272," F","40"," S",1,1,1
273," F","18"," S",1,0,1
274," M","30"," S",1,1,1
275," F","40","2",1,1,1
276," F","70"," S",0,0,0
277," F","40"," S",1,1,1
278," M","50"," S",0,NA,0
279," F","18"," S",1,0,1
280," M","18"," S",0,0,0
281," M","40"," S",1,0,1
282," F","70","2",1,0,0
283," M","18"," S",0,0,0
284," M","18"," S",1,1,1
285," F","60"," S",1,1,1
286," F","40"," S",1,1,1
287," F","60"," S",0,NA,0
288," F","70"," S",1,1,1
289," F","70"," S",1,1,1
290," M","50"," S",1,1,1
291," M","18"," S",1,1,1
292," F","40"," S",1,1,1
293," F","60"," S",1,1,1
294," F","30"," S",1,0,1
295," M","30"," S",1,1,1
296," F","18"," S",0,0,0
297," F","50"," S",1,1,1
298," M","30"," S",1,1,1
299," M","60"," S",1,1,1
300," F","40"," S",1,1,1
301," F","30"," S",1,1,1
302," M","40"," S",0,0,0
303," F","60"," S",1,1,1
304," M","30"," S",1,1,1
305," F","18"," S",0,0,0
306,NA,NA,NA,NA,NA,NA
307," M","18"," S",1,1,1
308," M","60"," S",1,1,1
309," M","30"," S",1,1,1
310," M","18"," S",0,0,0
311," M","30"," S",1,1,1
312," F","60"," S",0,0,0
313," M","18"," S",1,1,1
314," F","30"," S",1,1,1
315," F","50"," S",1,1,1
316," M","40"," S",1,1,1
317," F","18","2",NA,NA,NA
318," F","60"," S",1,1,1
319," F","50"," S",1,1,1
320," M","18"," S",0,0,0
321," F","60","2",1,1,1
322," M","30"," S",1,1,1
323," M","30","2",1,1,1
324," M","60"," S",1,0,1
325," M","30"," S",1,1,1
326," F","40"," S",0,0,0
327," F","18","2",1,1,1
328," F","50",NA,1,1,1
329," F","30"," S",1,1,1
330," F","50"," S",0,0,0
331," M","50","2",1,1,1
332," F","30","2",0,0,0
333," M","30"," S",1,1,1
334," M","18"," S",0,0,0
335," F","18"," S",0,NA,0
336," F","18"," S",1,1,1
337,NA,NA,NA,NA,NA,NA
338," F","60"," S",1,1,1
339," F","40"," S",1,1,1
340," M","60"," S",1,1,1
341," M","30"," S",1,1,1
342," F","40"," S",1,1,1
343," M","30","2",0,0,0
344," F","18"," S",1,1,1
345," F","60"," S",1,1,1
346," F","50","2",1,1,1
347,NA,NA,NA,1,1,1
348," F","50"," S",0,NA,0
349," F","18","2",1,1,1
350," M","40"," S",1,1,1
351," M","60"," S",1,1,1
352," M","40"," S",1,0,0
353," M","18","2",1,1,1
354," F","40"," S",1,1,1
355," F","40"," S",0,0,0
356," M","40"," S",1,1,1
357," F","40"," S",1,1,1
358," M","40"," S",1,0,0
359," F","40","2",0,NA,0
360," F","18"," S",0,0,0
361," M","50"," S",0,0,0
362," F","40"," S",1,1,1
363," M","18"," S",1,0,1
364," F","30"," S",1,0,0
365," F","50","2",1,1,1
366," F","18"," S",0,0,0
367," M","50"," S",0,NA,0
368," F","60"," S",1,1,1
369," M","60"," S",1,1,1
370," F","18"," S",1,1,1
371," M","50"," S",0,NA,0
372," M","30"," S",0,0,0
373," F","30"," S",1,0,0
374," F","30"," S",1,1,1
375," M","50"," S",1,1,1
376," M","18"," S",1,1,1
377," F","18"," S",1,1,1
378," F","30"," S",1,1,1
379," M","70"," S",NA,NA,NA
380," F","18"," S",0,0,0
381," F","70"," S",0,0,0
382," M","30"," S",1,1,1
383," F","50"," S",1,1,1
384," F","30"," S",0,0,0
385," M","18"," S",1,1,1
386," M","40"," S",1,0,1
387," F","50"," S",1,1,1
388," F","60"," S",1,0,0
389," F","18"," S",0,0,0
390," F","40"," S",0,0,0
391,NA,"60",NA,1,1,1
392," M","50"," S",1,1,1
393," M","30"," S",1,1,1
394," F","40"," S",1,1,0
395," F","60","2",0,0,0
396," M","18"," S",1,1,1
397," M","30"," S",1,1,1
398," M","40"," S",1,1,1
399," M","30"," S",1,1,1
400," M","18"," S",1,1,1
401," M","50"," S",1,1,1
402," M","18"," S",1,0,0
403," M","18"," S",1,1,1
404," F","70"," S",0,0,0
405," M","18"," S",1,1,1
406," F","40"," S",1,1,1
407," F","18"," S",1,0,1
408," F","60","2",0,0,0
409," F","70"," S",1,1,1
410," F","40"," S",0,0,0
411," F","60"," S",1,1,1
412," F","18"," S",1,1,1
413," F","70"," S",1,0,0
414," F","60"," S",1,1,1
415," F","30"," S",0,0,0
416," F","40"," S",0,NA,0
417," M","70"," S",1,1,1
418," F","70","2",0,0,0
419," F","50"," S",1,1,1
420," M","18"," S",1,1,1
421," F","50"," S",1,1,1
422," F","60"," S",1,1,1
423," M","40"," S",1,0,1
424," M","60"," S",1,1,1
425," M","30"," S",1,1,1
426," M","70"," S",1,1,1
427," M","40"," S",1,1,1
428," M","60"," S",1,1,1
429," F","50"," S",0,0,0
430," F","50"," S",0,0,0
431," M","40"," S",1,1,1
432," M","40"," S",1,1,1
433," M","30"," S",1,1,1
434," F","18"," S",1,1,1
435," F","30"," S",1,1,1
436," M","30"," S",1,1,1
437," F","50"," S",1,1,1
438," F","60"," S",1,1,1
439," F","60"," S",1,1,1
440," M","60"," S",1,1,1
441," F","30"," S",0,0,0
442," F","70","2",NA,NA,NA
443," F","40"," S",1,1,1
444," M","50"," S",1,1,1
445," F","60","2",1,1,1
446," F","60"," S",1,0,0
447,NA,"60"," S",0,NA,0
448," M","30"," S",1,1,1
449," F","60"," S",1,1,1
450," F","30","2",0,0,0
451," M","30"," S",0,0,0
452," M","30"," S",0,NA,0
453," F","60"," S",0,0,0
454," M","30"," S",1,1,1
455," F","50"," S",1,1,1
456," F","70"," S",1,0,1
457," F","40"," S",1,1,1
458," M","18"," S",1,0,1
459," M","40"," S",1,1,1
460," F","70"," S",0,0,0
461," M","30"," S",1,1,1
462," M","70"," S",1,1,1
463," M","70"," S",1,1,1
464," F","40"," S",1,1,1
465," M","50"," S",1,1,1
466," F","30"," S",1,1,1
467," M","30"," S",1,1,1
468," M","30"," S",1,1,1
469," M","50"," S",1,1,1
470," M","30"," S",0,NA,0
471," F","60"," S",1,1,1
472," M","70"," S",0,0,0
473," M","70"," S",1,1,1
474," M","40"," S",1,1,1
475," F","70"," S",0,0,0
476," F","30"," S",0,0,0
477," M","50"," S",1,0,1
478," M","70"," S",1,1,1
479," M","70","2",1,0,1
480," F","30"," S",1,1,1
481," M","18"," S",0,0,0
482," F","18"," S",1,1,1
483," F","50"," S",1,1,1
484," F","40"," S",1,1,1
485," F","18"," S",1,1,1
486," M","30"," S",0,0,0
487," F","60"," S",1,1,1
488," F","50"," S",1,0,0
489," M","40"," S",1,1,1
490," M","60"," S",1,0,1
491," F","40"," S",0,0,0
492," M","18"," S",0,0,0
493," F","60"," S",0,NA,0
494," M","50"," S",1,1,1
495," F","50","2",1,1,1
496," F","60"," S",1,1,1
497," F","30"," S",0,NA,0
498," M","70"," S",0,0,0
499," M","30"," S",1,1,1
500," F","18"," S",1,1,1
501," M","60"," S",1,1,1
502," M","30"," S",0,NA,0
503," M","70"," S",0,0,0
504," M","30"," S",1,1,1
505," M","18"," S",1,1,1
506," M","18"," S",1,1,1
507," M","60"," S",1,1,1
508," F","18","2",0,0,0
509," M","18"," S",1,1,1
510," M","18"," S",1,1,1
511," F","70"," S",1,1,1
512," F","18"," S",1,1,1
513," M","50"," S",1,1,1
514," M","70","2",0,NA,0
515," M","18"," S",1,1,1
516," F","70"," S",1,1,1
517," M","30"," S",1,1,1
518," F","60"," S",0,0,0
519," M","30"," S",1,0,1
520," F","60"," S",1,1,1
521," F","40"," S",1,1,1
522," M","18"," S",1,1,1
523," F","60"," S",1,1,1
524," M","30"," S",0,NA,0
525," F","30"," S",1,1,1
526," F","60","2",1,1,1
527," F","30"," S",0,0,0
528," M","18"," S",1,1,1
529," M","18"," S",1,1,1
530," F","18"," S",1,1,1
531," F","70"," S",1,1,1
532," M","30"," S",0,0,0
533," M","70"," S",1,1,1
534," F","30"," S",0,0,0
535," F","18"," S",0,NA,0
536," F","70"," S",1,1,1
537," F","60"," S",1,1,1
538," F","50"," S",0,0,0
539," F","18"," S",1,1,1
540," M","70"," S",1,1,1
541," F","50"," S",0,NA,0
542," M","30"," S",0,NA,0
543," M","70"," S",1,1,1
544," F","30"," S",1,1,1
545," M","18"," S",1,1,1
546," M","70"," S",1,1,1
547," M","30"," S",1,1,1
548," F","30"," S",0,0,0
549," F","70"," S",1,1,1
550," F","50"," S",1,1,1
551," M","40"," S",0,NA,0
552," F","30"," S",1,0,0
553," F","60"," S",1,1,1
554," F","50"," S",1,1,1
555," M","70"," S",1,1,1
556," F","70"," S",1,1,1
557," M","70"," S",0,0,0
558," F","18","1",1,0,1
559," M","60"," S",0,0,0
560," F","30"," S",0,NA,0
561," M","50"," S",1,1,1
562," M","70"," S",0,0,0
563," F","70"," S",1,1,1
564," F","40"," S",1,0,0
565," F","70"," S",1,1,1
566," F","30"," S",1,0,1
567," F","50"," S",0,0,0
568," M","18"," S",0,0,0
569," F","70"," S",0,0,0
570," M","40"," S",1,1,1
571," F","30"," S",1,0,1
572," F","50","2",0,0,0
573," F","50"," S",1,1,1
574," M","18","2",1,1,1
575," F","70"," S",0,0,0
576," M","18"," S",1,0,1
577," M","40"," S",1,1,1
578," F","60"," S",0,NA,0
579," F","70","2",1,1,1
580," M","18"," S",1,1,1
581," M","18"," S",0,0,0
582," F","30"," S",1,0,0
583," F","40"," S",1,0,0
584," M","50"," S",1,1,1
585," F","70"," S",1,1,1
586," F","70"," S",NA,NA,NA
587," M","18"," S",1,1,1
588," M","30"," S",1,1,1
589," M","40"," S",1,1,1
590," F","40"," S",0,0,0
591," M","70"," S",0,0,0
592," M","18"," S",1,1,1
593," M","60"," S",1,1,1
594," M","70"," S",NA,NA,NA
595," F","30"," S",1,1,1
596," M","18",NA,1,1,1
597," F","50"," S",1,1,1
598," F","30"," S",1,1,1
599," F","50"," S",0,NA,0
600," F","40"," S",1,1,1
601," M","60"," S",0,0,0
602," M","18"," S",1,1,1
603," F","30"," S",0,0,0
604," F","18"," S",1,1,1
605," F","18"," S",1,1,1
606," F","70"," S",1,1,1
607," M","30"," S",0,1,0
608," F","50"," S",1,0,1
609," M","60"," S",1,1,1
610," F","70"," S",1,0,0
611," M","70"," S",0,NA,0
612," M","70","2",NA,NA,NA
613," F","18"," S",1,1,1
614," F","60","2",0,NA,0
615," M","30"," S",1,1,1
616," M","30"," S",1,1,1
617," M","50"," S",1,1,1
618," M","50"," S",1,1,1
619," M","60"," S",1,1,1
620," F","60"," S",1,1,1
621," F","70"," S",1,1,1
622," F","70","2",NA,NA,NA
623," F","18"," S",1,1,1
624," M","60"," S",1,1,1
625," M","18"," S",1,1,1
626," M","60"," S",1,1,1
627," M","18"," S",1,1,1
628," F","40"," S",1,1,1
629," M","60"," S",1,1,1
630," F","30"," S",1,1,1
631," M","40"," S",0,0,0
632," M","40"," S",1,1,1
633," M","50"," S",1,1,1
634," F","40"," S",1,1,1
635," M","18"," S",1,1,1
636," F","30"," S",0,NA,0
637," M","30"," S",1,1,1
638," M","18"," S",1,1,1
639," F","18"," S",1,1,1
640,NA,NA,NA,0,NA,0
641," F","60"," S",1,1,1
642," F","30"," S",1,1,1
643," F","18"," S",1,1,1
644," F","18"," S",1,1,1
645," M","40"," S",0,0,0
646," F","40"," S",1,1,1
647," M","30"," S",1,1,1
648," M","30"," S",0,0,0
649," M","30"," S",1,1,1
650," F","50"," S",1,1,1
651," M","50"," S",1,1,1
652," M","18"," S",1,1,1
653," F","18"," S",1,0,1
654," M","70"," S",1,0,1
655," F","60"," S",1,1,1
656," F","50"," S",1,1,1
657," M","40"," S",1,1,1
658," M","40"," S",1,1,1
659," F","60","1",NA,NA,NA
660," M","30"," S",1,1,1
661," F","50"," S",1,1,1
662," M","60"," S",1,1,1
663," M","60"," S",0,NA,0
664," F","70"," S",1,0,1
665," M","60"," S",1,1,1
666," M","50","2",1,1,1
667," F","18"," S",1,1,1
668," F","50"," S",0,NA,0
669," F","60"," S",1,1,1
670," M","30"," S",1,1,1
671," M","60","2",1,1,1
672," F","50"," S",1,1,1
673," F","70","2",1,1,1
674," M","70","2",0,0,0
675," M","18"," S",1,0,1
676," F","60"," S",0,1,0
677," M","40"," S",1,1,1
678," F","18","2",1,0,1
679," M","18"," S",1,1,1
680," F","30","2",1,1,1
681," F","18","1",0,0,0
682," F","30"," S",1,1,1
683," F","30"," S",1,1,1
684," F","60"," S",0,0,0
685," F","60"," S",1,0,1
686," F","50"," S",0,NA,0
687," F","70"," S",0,NA,0
688,NA,NA,NA,0,0,0
689," M","50"," S",0,0,0
690," M","18",NA,1,1,1
691," M","40"," S",1,1,1
692," F","50","2",1,0,1
693," F","40"," S",0,NA,0
694," M","18"," S",1,0,0
695," M","70"," S",0,0,0
696," F","50"," S",1,1,1
697," M","70"," S",0,0,0
698," F","18"," S",0,NA,0
699," M","50"," S",1,0,1
700," F","70"," S",0,NA,0
701," F","70"," S",1,1,1
702," F","50"," S",1,1,1
703," M","18"," S",1,1,1
704," F","18"," S",1,1,1
705," F","70"," S",1,1,1
706," M","40"," S",1,1,1
707," F","60","2",1,1,1
708," F","70"," S",1,1,1
709," M","60"," S",0,0,0
710," F","60"," S",1,1,1
711," F","40"," S",0,0,0
712," F","70"," S",1,1,1
713," M","30"," S",0,0,0
714," F","50"," S",0,0,0
715," M","30"," S",1,1,1
716," F","30"," S",1,1,1
717,NA,NA,NA,NA,NA,NA
718," M","18"," S",1,1,1
719," F","70"," S",1,0,0
720," F","30"," S",0,NA,0
721," M","30"," S",0,0,0
722,NA,NA,NA,1,0,1
723," M","40"," S",0,0,0
724," M","30"," S",1,0,0
725," F","70"," S",1,1,1
726," M","60"," S",1,1,1
727," F","70","2",0,0,0
728," F",NA,"2",1,1,1
729," F","60"," S",0,0,0
730," M","40"," S",1,1,1
731," F","70"," S",0,NA,0
732," F","18"," S",1,1,1
733," F","40"," S",1,1,1
734," M","40"," S",1,1,1
735," F","60"," S",1,1,1
736," F","18"," S",1,1,1
737," F","50"," S",1,0,1
738," M",NA," S",1,1,1
739," F","70"," S",1,1,1
740," M","40"," S",1,1,1
741," F","18","2",1,1,1
742," F","30"," S",1,1,1
743," F","70"," S",0,NA,0
744," M","60"," S",1,1,1
745," F","18"," S",0,0,0
746," F","60"," S",1,1,1
747," M","70"," S",1,1,1
748," F","30"," S",1,1,1
749," F","30"," S",1,1,1
750," M","60"," S",1,1,1
751," M","50","2",0,0,0
752," M",NA," S",1,1,1
753," M","50"," S",0,NA,0
754," M","50"," S",1,1,1
755," F","70"," S",0,0,0
756," M","30"," S",1,0,1
757," F","18"," S",1,1,1
758," M","30","2",1,1,1
759," F","60"," S",1,0,1
760," F","50"," S",0,0,0
761," M","30"," S",1,1,1
762," F","50","2",0,0,0
763,NA,NA,NA,1,1,1
764," F","50"," S",0,0,0
765," F","50"," S",1,1,1
766," M","60",NA,1,1,1
767," M","60"," S",1,1,1
768," M","30"," S",0,0,0
769," F","30"," S",0,0,0
770," F","50","2",1,1,1
771," F","40"," S",1,1,1
772," F","30"," S",1,1,1
773," M","30"," S",1,1,1
774," F","50"," S",1,1,1
775," F","70"," S",0,NA,0
776," M","30"," S",1,1,1
777," F","60"," S",1,1,1
778," F","50","2",1,1,1
779," F","70"," S",1,0,1
780," M","60"," S",1,1,1
781," M","60"," S",1,1,1
782," F","18"," S",0,1,0
783," F","30"," S",1,1,1
784," M","40"," S",1,1,1
785," M","50"," S",1,1,1
786," M","30"," S",1,0,1
787," M","30"," S",1,1,1
788," F","18"," S",1,1,1
789,NA,"60",NA,NA,NA,NA
790," F","50"," S",1,1,1
791," F","18","1",1,1,1
792," M","60","2",1,1,1
793," M","40"," S",1,1,1
794," F","50","2",0,NA,0
795," F","60"," S",0,0,0
796," M","18"," S",1,1,1
797," F","40"," S",1,1,1
798," M","18"," S",1,1,1
799," M","40","2",1,0,1
800," F","70"," S",0,1,0
801," M","50","2",1,1,1
802," F","30"," S",1,0,1
803," F","30"," S",1,1,1
804," F","40"," S",1,1,1
805," M","18"," S",0,0,0
806," M","30"," S",1,0,0
807," F","60"," S",0,0,0
808," F","30"," S",1,1,1
809," F","40"," S",1,1,1
810," F","70","1",1,1,1
811," F","50"," S",1,1,1
812," M","70"," S",0,NA,0
813," F","50"," S",1,1,1
814," M","40"," S",0,0,0
815," F","40"," S",1,1,1
816," F","60","1",1,1,1
817," M","40"," S",1,1,1
818," F","30"," S",0,0,0
819," M","30"," S",1,1,1
820," F","30"," S",1,0,1
821," M","30"," S",1,1,1
822," F","18","2",1,0,0
823," F","60"," S",1,0,1
824," M","30"," S",1,1,1
825," F","60"," S",0,0,0
826," F","30"," S",1,1,1
827," F","40"," S",1,1,1
828," M","30"," S",1,0,0
829," M","50"," S",1,1,1
830," M","30"," S",1,1,1
831," F","60"," S",1,1,1
832," F","40"," S",1,1,1
833," F","18"," S",0,NA,0
834," M","30"," S",1,1,1
835," F","70"," S",0,0,0
836," F","70"," S",1,1,1
837," M","30"," S",0,0,0
838," M","18"," S",0,0,0
839," F","60"," S",1,0,1
840," F","30"," S",1,1,1
841," M","40"," S",1,1,1
842," M","40"," S",1,1,1
843," F","50"," S",1,1,1
844," M","70"," S",NA,NA,NA
845," F","40"," S",1,1,1
846," M","30"," S",1,1,1
847," M","30"," S",1,1,1
848," F","18"," S",0,NA,0
849," M","50"," S",0,0,0
850," M","18"," S",1,1,1
851," M","50"," S",0,1,0
852," F","18"," S",1,1,1
853," M","50"," S",1,1,1
854," F","40"," S",1,0,1
855," M","60"," S",1,0,1
856," M","70"," S",0,0,0
857," M","30"," S",1,1,1
858," F","18"," S",1,1,1
859," F","50"," S",1,1,1
860,NA,"50","2",1,1,1
861," F","60"," S",1,1,1
862," F","18"," S",1,1,1
863," M","18"," S",1,1,1
864," M","40"," S",1,1,1
865," M","30"," S",0,NA,0
866," M","60"," S",1,1,1
867," F","60"," S",0,0,0
868," F","50"," S",1,1,1
869," F","18"," S",0,0,0
870," F","30"," S",1,1,1
871," M","40","1",1,1,1
872," M","18"," S",1,1,1
873," F","50"," S",1,0,1
874," F","18"," S",1,1,1
875," F","50"," S",1,0,1
