"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
141," M",2,3,1,1,1,0,0,0,0
142," F",1,3,1,1,1,1,1,0,1
143," F",4,3,1,1,1,1,1,0,1
144," F",6,3,1,0,1,0,0,0,0
145," M",1,3,1,1,1,0,0,0,1
146," F",4,2,0,0,0,0,0,0,1
147," F",5,3,0,0,0,0,0,0,0
148," M",3,2,0,0,0,0,0,0,0
149," F",6,3,1,1,1,0,0,0,0
150," M",4,3,1,1,1,1,0,0,0
151," F",3,NA,0,0,0,0,0,0,1
152," M",1,3,1,1,1,0,0,0,1
153," F",1,3,1,1,1,1,1,0,1
154,NA,1,3,1,1,1,0,0,0,0
155," M",4,3,1,1,1,1,1,0,0
156," M",3,3,0,0,0,0,0,0,1
157," F",4,3,NA,NA,NA,0,0,0,1
158," F",4,3,0,0,0,1,0,0,1
159," F",1,3,1,1,1,1,1,0,1
160," F",1,3,1,1,1,0,0,0,1
161," F",4,3,0,NA,0,0,0,0,0
162," F",3,3,1,1,1,1,1,0,0
163," M",5,3,1,1,1,0,0,0,0
164," F",1,3,0,0,0,0,0,0,0
165," M",5,2,1,1,1,1,1,0,0
166," F",2,3,1,1,1,0,0,0,1
167," M",5,3,1,0,1,0,0,0,1
168," M",4,3,1,1,1,1,1,0,1
169," M",2,3,NA,NA,NA,0,0,0,0
170," M",4,3,1,1,1,0,0,0,0
171," F",3,2,NA,NA,NA,0,0,0,1
172," F",5,3,1,1,1,1,1,0,0
173," F",4,3,1,1,1,1,1,0,0
174," M",2,3,1,1,1,1,1,0,1
175," F",3,3,0,NA,0,0,0,0,0
176," M",5,3,0,0,0,0,0,0,0
177," F",6,3,0,NA,0,1,0,0,0
178," F",4,3,0,0,0,1,0,0,0
179," M",2,3,1,1,1,1,1,0,1
180," F",5,3,0,NA,0,0,0,0,1
181," F",1,3,1,1,1,0,0,0,0
182," M",4,2,1,1,1,0,0,0,1
183," F",1,3,1,1,1,1,1,0,1
184," F",3,2,0,0,0,1,1,0,1
185," M",1,3,1,1,1,1,0,0,0
186," M",3,1,1,1,1,0,0,0,1
187," F",4,3,1,1,1,1,1,0,0
188," F",4,3,1,1,1,0,0,0,0
189," F",2,2,1,1,1,1,1,0,1
190," M",6,3,1,1,1,0,0,0,1
191," M",3,3,0,0,0,0,0,0,0
192," M",1,3,0,0,0,0,0,0,0
193," M",1,3,0,0,0,1,1,0,1
194," M",3,3,1,1,1,1,1,0,0
195," M",5,3,0,0,0,0,0,0,1
196," M",4,3,1,1,1,0,0,0,0
197," M",2,3,1,1,1,1,0,0,0
198," M",1,3,1,1,1,0,0,0,1
199," F",4,3,1,1,1,0,0,0,0
200," M",1,2,0,0,0,0,0,0,0
201," M",1,3,1,0,1,1,0,0,0
202," F",1,3,0,0,0,0,0,0,1
203," F",5,3,1,1,1,0,0,0,1
204," M",2,3,NA,NA,NA,0,0,0,1
205," M",1,3,1,1,1,1,1,0,1
206," F",1,3,0,0,0,0,0,0,0
207," M",2,3,1,1,1,1,1,0,0
208," M",1,3,0,0,0,0,0,0,0
209," M",6,3,1,1,1,1,1,0,1
210," F",1,3,0,0,0,1,0,0,0
211," M",3,3,0,0,0,1,1,0,0
212," F",3,3,1,1,1,0,0,0,0
213," F",6,NA,NA,NA,NA,0,0,0,0
214," F",1,3,1,1,1,1,1,0,1
215," M",1,3,1,1,1,1,1,0,0
216," M",3,3,0,0,0,1,1,0,0
217," F",3,2,0,0,0,0,0,0,0
218," M",1,3,1,1,1,0,0,0,0
219," M",2,2,1,1,1,0,0,1,0
220,NA,NA,NA,1,1,1,1,1,0,0
221," F",4,3,1,0,0,1,1,0,0
222," M",3,3,1,1,1,1,1,0,0
223," M",5,3,0,0,0,1,1,0,0
224," M",3,3,1,1,1,1,1,0,1
225," M",3,3,0,NA,0,0,0,0,1
226," F",2,3,1,1,1,0,0,0,0
227," F",4,3,1,0,1,0,0,0,1
228,NA,NA,NA,1,1,1,1,1,0,0
229," M",2,NA,0,0,0,0,0,0,1
230," M",4,3,1,1,1,1,1,0,0
231," F",1,3,1,1,1,0,0,0,0
232," M",4,2,1,1,1,0,0,1,0
233," F",1,3,1,1,1,0,0,0,1
234,NA,1,NA,1,1,1,1,1,0,1
235," M",3,3,0,0,0,0,0,0,0
236," F",1,2,1,1,1,0,0,0,1
237," F",4,3,1,1,1,1,1,0,0
238," M",4,3,1,1,1,1,0,0,0
239," F",6,2,0,NA,0,0,0,0,0
240," M",1,3,1,0,1,0,0,0,0
241," F",5,2,0,NA,0,0,0,1,0
242," M",2,2,1,1,1,0,0,0,1
243," F",6,3,1,1,1,1,1,0,0
244," F",2,3,1,0,1,1,1,0,0
245," M",4,3,0,0,0,0,0,0,1
246," F",1,3,1,1,1,0,0,0,0
247," F",4,3,1,1,1,1,1,0,0
248," F",1,3,0,0,0,0,0,0,0
249," F",3,3,1,0,1,1,0,0,0
250," F",4,3,1,1,0,0,0,0,1
251," F",1,3,1,1,1,1,1,0,1
252," F",3,3,1,0,1,0,0,0,0
253," M",4,3,1,1,1,0,0,0,1
254," M",3,3,0,0,0,0,0,0,1
255," M",1,3,1,1,1,0,0,0,0
256," M",2,2,0,0,0,1,0,0,0
257," M",5,3,1,1,1,0,0,0,0
258," F",4,3,0,NA,0,0,0,0,1
259," F",6,3,0,0,0,0,0,0,0
260," F",4,3,1,1,1,0,0,0,0
261," M",4,3,1,1,1,1,0,0,0
262," F",5,3,0,NA,0,1,1,0,0
263," F",1,3,1,1,1,0,0,0,0
264," M",4,3,1,1,1,1,0,0,1
265," M",4,3,1,1,1,0,0,0,1
266," M",1,3,1,0,1,0,0,0,0
267," M",2,3,1,1,1,1,1,0,1
268," F",3,3,0,NA,0,0,0,0,0
269," F",3,3,1,1,1,1,0,0,0
270," M",2,3,1,1,1,1,1,0,0
271," F",3,3,1,1,1,0,0,0,0
272," F",3,3,1,1,1,1,1,0,0
273," F",1,3,1,0,1,0,0,0,1
274," M",2,3,1,1,1,1,1,0,0
275," F",3,2,1,1,1,0,0,0,0
276," F",6,3,0,0,0,1,0,0,0
277," F",3,3,1,1,1,1,1,0,0
278," M",4,3,0,NA,0,1,1,0,0
279," F",1,3,1,0,1,0,0,0,1
280," M",1,3,0,0,0,0,0,0,0
281," M",3,3,1,0,1,1,1,0,1
282," F",6,2,1,0,0,0,0,0,1
283," M",1,3,0,0,0,1,0,0,0
284," M",1,3,1,1,1,0,0,1,0
285," F",5,3,1,1,1,1,1,0,0
286," F",3,3,1,1,1,0,0,0,1
287," F",5,3,0,NA,0,0,0,0,0
288," F",6,3,1,1,1,1,1,0,0
289," F",6,3,1,1,1,0,0,0,0
290," M",4,3,1,1,1,1,1,0,0
291," M",1,3,1,1,1,0,0,0,0
292," F",3,3,1,1,1,1,1,0,0
293," F",5,3,1,1,1,1,1,0,0
294," F",2,3,1,0,1,0,0,0,0
295," M",2,3,1,1,1,0,0,0,1
296," F",1,3,0,0,0,0,0,0,1
297," F",4,3,1,1,1,0,0,0,1
298," M",2,3,1,1,1,1,0,0,0
299," M",5,3,1,1,1,0,0,0,1
300," F",3,3,1,1,1,1,0,0,1
301," F",2,3,1,1,1,1,1,0,1
302," M",3,3,0,0,0,0,0,0,0
303," F",5,3,1,1,1,1,1,0,0
304," M",2,3,1,1,1,1,1,0,0
305," F",1,3,0,0,0,0,0,0,0
306,NA,NA,NA,NA,NA,NA,0,0,0,1
307," M",1,3,1,1,1,0,0,0,1
308," M",5,3,1,1,1,0,0,0,0
309," M",2,3,1,1,1,0,0,0,1
310," M",1,3,0,0,0,0,0,0,0
311," M",2,3,1,1,1,0,0,0,1
312," F",5,3,0,0,0,0,0,0,1
313," M",1,3,1,1,1,1,1,0,1
314," F",2,3,1,1,1,0,0,0,0
315," F",4,3,1,1,1,1,1,0,1
316," M",3,3,1,1,1,1,1,0,0
317," F",1,2,NA,NA,NA,0,0,0,0
318," F",5,3,1,1,1,0,0,0,1
319," F",4,3,1,1,1,0,0,0,1
320," M",1,3,0,0,0,0,0,0,1
321," F",5,2,1,1,1,0,0,0,1
322," M",2,3,1,1,1,1,1,0,1
323," M",2,2,1,1,1,0,0,0,1
324," M",5,3,1,0,1,0,0,0,1
325," M",2,3,1,1,1,0,0,0,1
326," F",3,3,0,0,0,0,0,0,1
327," F",1,2,1,1,1,0,0,0,1
328," F",4,NA,1,1,1,0,0,0,0
329," F",2,3,1,1,1,0,0,0,0
330," F",4,3,0,0,0,1,1,0,0
331," M",4,2,1,1,1,1,1,0,1
332," F",2,2,0,0,0,1,1,0,0
333," M",2,3,1,1,1,0,0,0,1
334," M",1,3,0,0,0,0,0,0,1
335," F",1,3,0,NA,0,0,0,0,1
336," F",1,3,1,1,1,0,0,0,1
337,NA,NA,NA,NA,NA,NA,0,0,0,0
338," F",5,3,1,1,1,1,1,0,0
339," F",3,3,1,1,1,1,1,0,1
340," M",5,3,1,1,1,1,1,0,0
341," M",2,3,1,1,1,0,0,0,0
342," F",3,3,1,1,1,0,0,0,0
343," M",2,2,0,0,0,1,0,0,1
344," F",1,3,1,1,1,1,1,1,0
345," F",5,3,1,1,1,0,0,0,0
346," F",4,2,1,1,1,1,1,0,0
347,NA,NA,NA,1,1,1,0,0,0,0
348," F",4,3,0,NA,0,0,0,0,0
349," F",1,2,1,1,1,0,0,0,1
350," M",3,3,1,1,1,1,1,0,1
351," M",5,3,1,1,1,1,0,0,0
352," M",3,3,1,0,0,0,0,0,0
353," M",1,2,1,1,1,1,1,0,1
354," F",3,3,1,1,1,0,0,0,1
355," F",3,3,0,0,0,1,1,0,0
356," M",3,3,1,1,1,0,0,0,0
357," F",3,3,1,1,1,1,1,0,0
358," M",3,3,1,0,0,0,0,0,1
359," F",3,2,0,NA,0,0,0,0,1
360," F",1,3,0,0,0,1,1,1,0
361," M",4,3,0,0,0,1,0,0,0
362," F",3,3,1,1,1,1,1,0,0
363," M",1,3,1,0,1,0,0,0,1
364," F",2,3,1,0,0,1,1,0,1
365," F",4,2,1,1,1,0,0,0,1
366," F",1,3,0,0,0,0,0,0,1
367," M",4,3,0,NA,0,0,0,0,0
368," F",5,3,1,1,1,0,0,0,0
369," M",5,3,1,1,1,1,1,0,0
370," F",1,3,1,1,1,0,0,0,1
371," M",4,3,0,NA,0,0,0,0,0
372," M",2,3,0,0,0,1,1,0,1
373," F",2,3,1,0,0,0,0,0,0
374," F",2,3,1,1,1,1,1,0,1
375," M",4,3,1,1,1,1,1,0,0
376," M",1,3,1,1,1,0,0,0,1
377," F",1,3,1,1,1,0,0,0,1
378," F",2,3,1,1,1,0,0,0,1
379," M",6,3,NA,NA,NA,0,0,0,0
380," F",1,3,0,0,0,0,0,0,1
381," F",6,3,0,0,0,1,1,0,0
382," M",2,3,1,1,1,0,0,0,1
383," F",4,3,1,1,1,0,0,0,0
384," F",2,3,0,0,0,0,0,0,0
385," M",1,3,1,1,1,0,0,0,0
386," M",3,3,1,0,1,0,0,0,0
387," F",4,3,1,1,1,1,1,0,0
388," F",5,3,1,0,0,0,0,0,0
389," F",1,3,0,0,0,1,1,0,1
390," F",3,3,0,0,0,1,1,0,0
391,NA,5,NA,1,1,1,0,0,0,1
392," M",4,3,1,1,1,0,0,0,0
