"x"
4
5
10
12
14
16
18
19
20
22
24
27
28
30
32
34
35
36
37
39
42
48
50
52
53
56
58
61
65
66
67
69
76
78
80
81
82
85
88
91
93
97
100
107
108
111
112
116
119
123
124
127
133
139
142
143
145
146
151
152
153
156
157
158
159
160
166
167
168
171
174
179
180
182
183
184
186
189
190
193
195
198
202
203
204
205
209
214
224
225
227
229
233
234
236
242
245
250
251
253
254
258
264
265
267
273
279
281
282
286
295
296
297
299
300
301
306
307
309
311
312
313
315
318
319
320
321
322
323
324
325
326
327
331
333
334
335
336
339
343
349
350
353
354
358
359
363
364
365
366
370
372
374
376
377
378
380
382
389
391
395
397
398
400
402
403
405
407
408
411
413
416
418
423
425
431
432
434
435
436
439
443
450
454
461
466
467
468
470
476
481
482
483
484
492
493
494
495
498
499
501
504
509
510
516
518
528
531
533
538
541
546
554
564
568
571
574
576
577
582
598
600
601
603
604
605
609
618
621
627
630
631
633
638
639
644
648
650
652
658
663
665
666
673
674
675
678
680
681
686
692
703
704
709
715
718
728
729
732
739
742
744
745
750
754
756
757
758
761
765
767
773
774
778
780
784
786
796
799
801
807
811
813
818
819
821
822
830
832
838
840
841
842
846
847
852
854
860
861
866
867
870
872
874
876
881
887
890
902
903
904
910
914
920
921
926
927
928
929
933
938
939
944
946
947
948
955
956
959
961
962
965
971
972
976
983
988
992
996
999
1001
1009
1012
1017
1027
1029
1033
1036
1041
1050
1051
1054
1055
1059
