"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
206,"F",2,3,1,1,1,0,0,0,0
207,"F",2,3,1,1,1,1,1,0,1
208,"M",2,3,0,0,0,0,0,0,1
211,"M",3,3,1,0,1,1,0,0,1
212,"M",3,3,0,0,0,0,0,0,1
213,"M",2,3,1,1,1,0,0,0,1
220,"M",2,3,1,1,1,1,0,0,1
222,"M",3,3,1,1,1,1,1,0,0
225,"M",2,3,0,NA,0,1,0,0,1
226,"M",2,3,1,1,1,0,0,0,1
228,"M",4,3,1,1,1,1,1,0,0
229,"F",5,3,1,1,1,0,0,0,1
231,"M",3,3,1,1,1,0,0,0,1
235,"M",3,3,0,0,0,1,0,0,1
236,"M",4,3,1,1,1,1,1,0,1
238,"M",3,3,0,0,0,1,0,0,0
240,"M",3,3,1,0,1,1,0,0,0
241,NA,2,3,0,0,0,0,0,0,0
242,"F",3,3,1,1,1,0,0,0,0
243,"M",4,3,1,1,1,1,1,0,0
244,"M",3,3,0,0,0,1,0,0,0
245,"M",2,3,1,1,1,1,0,0,1
246,"M",3,3,0,0,0,0,0,0,0
247,"M",2,3,1,1,1,0,0,0,1
250,"M",5,3,0,NA,0,1,1,0,0
251,"M",2,3,0,0,0,0,0,0,1
253,"M",5,3,1,1,1,0,0,0,1
254,"M",2,3,0,0,0,0,0,0,1
258,NA,3,2,1,1,1,0,0,0,1
259,"M",2,3,0,0,0,1,1,0,1
260,"M",3,3,1,1,1,1,1,0,1
261,"M",2,3,1,0,0,1,0,0,1
262,"M",2,2,1,1,1,1,1,0,1
263,"M",2,3,0,0,0,1,1,0,0
264,"M",2,3,1,1,1,1,1,0,1
265,"M",2,3,1,1,1,1,1,0,1
266,"M",2,3,1,1,1,0,0,0,0
267,"M",3,3,0,0,0,0,0,0,0
268,"M",2,3,1,1,1,0,0,0,1
271,NA,2,3,1,1,1,0,0,0,1
273,"M",3,2,1,1,1,1,1,0,1
274,"F",2,3,1,1,1,0,0,0,1
276,"M",2,3,1,1,1,1,0,0,0
277,"M",3,3,1,1,1,1,1,0,1
278,"M",2,2,1,1,1,0,0,0,1
279,"M",3,3,1,1,1,0,0,0,1
282,"F",2,3,1,1,1,0,0,0,1
283,"M",2,3,0,0,0,1,1,0,0
285,"M",3,3,1,1,1,1,1,0,1
286,"F",2,3,1,1,1,1,1,0,1
288,"M",3,3,1,1,1,0,0,0,1
290,"M",3,3,1,1,1,0,0,0,0
294,"M",6,3,1,1,1,1,1,0,0
296,"M",2,3,0,0,0,1,0,0,1
297,"M",4,3,1,1,1,1,1,0,0
301,"M",2,3,1,1,1,1,0,0,0
303,"M",4,3,1,1,1,0,0,0,1
305,"M",2,3,1,0,1,1,1,0,1
308,"M",2,3,1,1,1,0,0,0,1
309,"M",2,3,1,1,1,0,0,0,1
310,"M",4,3,1,1,1,0,0,1,0
311,"M",5,3,0,0,0,1,1,0,1
318,"M",3,3,1,0,1,0,0,0,0
319,"M",2,3,0,0,0,1,1,0,1
320,"M",3,3,1,0,0,1,1,0,0
321,"M",3,3,1,1,1,1,1,0,1
322,"F",3,3,0,0,0,1,1,0,1
327,"M",3,3,1,1,1,1,1,0,1
328,"F",5,3,1,1,1,1,1,0,1
330,"F",3,3,0,0,0,1,0,0,1
331,"F",3,3,1,1,1,0,0,0,1
332,"F",3,3,0,0,0,1,1,0,1
333,"M",3,3,1,1,1,1,0,0,1
336,"M",3,3,1,1,1,0,0,0,1
337,"M",2,3,1,1,1,0,0,0,1
338,"M",4,3,1,1,1,1,0,0,1
339,"F",2,3,1,1,1,1,0,0,1
340,"F",4,3,1,0,1,1,1,0,0
341,"M",2,3,1,1,1,0,0,0,1
342,"M",2,3,1,1,1,1,1,0,1
