"id","avg.match","optk2","phi.value","AGE","GENDER","EDUC","WORK","Educ.lvl"
791,1,"k=2",1,"18"," F","1"," PRI",1
793,0.909090909090909,"k=2+",0.77,"40"," M"," S"," PRI",3
796,1,"k=2+",1,"18"," M"," S"," ETU",3
797,1,"k=2",1,"40"," F"," S"," PUB",3
798,1,"k=2",1,"18"," M"," S"," PRI",3
799,0.818181818181818,"k=2",0.62,"40"," M","2"," PUB",2
800,0.272727272727273,"k=2+",0.15,"70"," F"," S"," RET",3
801,1,"k=2",1,"50"," M","2"," PRI",2
802,0.727272727272727,"k=2+",0.52,"30"," F"," S"," PRI",3
804,1,"k=2",1,"40"," F"," S"," PRI",3
806,0.727272727272727,"k=2",0.52,"30"," M"," S"," PRI",3
807,0.727272727272727,"k=2",0.56,"60"," F"," S"," RET",3
808,0.636363636363636,"k=2+",0.46,"30"," F"," S",NA,3
809,0.909090909090909,"k=2",0.77,"40"," F"," S"," CHO",3
811,0.909090909090909,"k=2",0.77,"50"," F"," S"," PRI",3
813,0.727272727272727,"k=2",0.57,"50"," F"," S"," PRI",3
815,1,"k=2",1,"40"," F"," S"," PUB",3
816,0.818181818181818,"k=2+",0.62,"60"," F","1"," RET",1
817,1,"k=2",1,"40"," M"," S"," PUB",3
818,0.545454545454545,"k=2+",0.38,"30"," F"," S"," PUB",3
819,0.727272727272727,"k=2+",0.56,"30"," M"," S"," PRI",3
820,0.727272727272727,"k=2",0.52,"30"," F"," S"," PRI",3
822,0.909090909090909,"k=2+",0.77,"18"," F","2"," AUT",2
823,0.818181818181818,"k=2",0.52,"60"," F"," S"," PRI",3
824,0.818181818181818,"k=2",0.62,"30"," M"," S"," PRI",3
826,0.909090909090909,"k=2",0.83,"30"," F"," S"," PUB",3
827,1,"k=2",1,"40"," F"," S"," PUB",3
828,0.818181818181818,"k=2",0.67,"30"," M"," S"," PRI",3
829,0.909090909090909,"k=2+",0.81,"50"," M"," S"," ART",3
830,0.727272727272727,"k=2+",0.52,"30"," M"," S"," ART",3
832,0.909090909090909,"k=2",0.81,"40"," F"," S"," ART",3
834,0.909090909090909,"k=2+",0.67,"30"," M"," S"," ART",3
835,0.727272727272727,"k=2",0.42,"70"," F"," S"," RET",3
836,0.909090909090909,"k=2",0.67,"70"," F"," S"," RET",3
837,0.363636363636364,"k=2+",0.19,"30"," M"," S"," PRI",3
838,0.727272727272727,"k=2+",0.56,"18"," M"," S"," ETU",3
839,0.909090909090909,"k=2",0.77,"60"," F"," S"," PRI",3
840,0.545454545454545,"k=2+",0.38,"30"," F"," S",NA,3
842,0.545454545454545,"k=2+",0.36,"40"," M"," S"," PUB",3
843,0.909090909090909,"k=2",0.77,"50"," F"," S"," PRI",3
845,0.818181818181818,"k=2",0.67,"40"," F"," S"," PUB",3
847,0.727272727272727,"k=2",0.52,"30"," M"," S"," PUB",3
849,0.636363636363636,"k=2+",0.43,"50"," M"," S"," ART",3
850,0.909090909090909,"k=2",0.81,"18"," M"," S"," PUB",3
851,0.272727272727273,"k=2+",0.15,"50"," M"," S"," PRI",3
852,0.636363636363636,"k=2",0.46,"18"," F"," S"," PUB",3
853,0.909090909090909,"k=2",0.77,"50"," M"," S"," PUB",3
855,0.818181818181818,"k=2+",0.52,"60"," M"," S"," RET",3
857,1,"k=2+",1,"30"," M"," S"," PRI",3
858,1,"k=2+",1,"18"," F"," S"," PUB",3
863,0.818181818181818,"k=2+",0.67,"18"," M"," S"," PUB",3
866,0.454545454545455,"k=2+",0.29,"60"," M"," S"," RET",3
868,1,"k=2",1,"50"," F"," S"," PUB",3
869,0.363636363636364,"k=2+",0.22,"18"," F"," S"," ETU",3
870,0.818181818181818,"k=2+",0.67,"30"," F"," S"," PRI",3
871,0.818181818181818,"k=2",0.67,"40"," M","1"," ART",1
872,0.909090909090909,"k=2",0.81,"18"," M"," S"," ETU",3
873,0.818181818181818,"k=2",0.69,"50"," F"," S"," PUB",3
874,0.818181818181818,"k=2",0.67,"18"," F"," S"," ETU",3
875,0.727272727272727,"k=2+",0.52,"50"," F"," S"," ART",3
876,0.818181818181818,"k=2",0.67,"40"," F"," S"," CHO",3
878,1,"k=2",1,"70"," F"," S"," RET",3
879,1,"k=2",1,"50"," M"," S"," PUB",3
880,0.727272727272727,"k=2",0.42,"60"," M"," S"," RET",3
882,0.818181818181818,"k=2+",0.62,"70"," M"," S"," RET",3
885,0.545454545454545,"k=2+",0.29,"40"," F"," S"," PUB",3
886,0.454545454545455,"k=2+",0.29,"30"," F"," S"," PUB",3
888,0.545454545454545,"k=2",0.38,"30"," F"," S"," ART",3
889,0.727272727272727,"k=2",0.42,"60",NA,"2"," RET",2
890,0.636363636363636,"k=2+",0.46,"40"," M"," S"," PRI",3
891,0.909090909090909,"k=2+",0.77,"30"," F"," S"," PRI",3
892,0.909090909090909,"k=2",0.83,"18"," F"," S"," PRI",3
894,1,"k=2",1,"40"," M"," S"," ART",3
895,0.545454545454545,"k=2+",0.38,"70"," M"," S"," RET",3
896,0.818181818181818,"k=2",0.52,"70"," F"," S"," RET",3
897,0.909090909090909,"k=2",0.83,"30"," M"," S"," CHO",3
898,0.545454545454545,"k=2+",0.38,"70"," M"," S"," RET",3
899,0.909090909090909,"k=2",0.77,"50"," F"," S"," PUB",3
900,0.909090909090909,"k=2",0.81,"50"," M"," S"," ART",3
901,1,"k=2",1,"30"," F"," S"," PUB",3
902,0.727272727272727,"k=2+",0.56,"40"," F"," S"," PUB",3
903,0.727272727272727,"k=2+",0.52,"30"," F"," S"," PUB",3
904,0.909090909090909,"k=2",0.81,"60"," F"," S"," PUB",3
905,0.636363636363636,"k=2+",0.35,"18"," M"," S"," PUB",3
906,1,"k=2",1,"40"," M"," S"," PRI",3
909,1,"k=2+",1,"18"," M"," S"," ETU",3
910,0.727272727272727,"k=2+",0.52,"40"," M"," S"," PUB",3
